sourceIPv4Address,destinationIPv4Address,protocolIdentifier,protocolName,sourceTransportPort,destinationTransportPort,octetDeltaCount,packetDeltaCount,flowStartMilliseconds,flowEndMilliseconds,mac_source,mac_destination,transport_source_port,transport_destination_port,application_name,http_url,https_url_certificate,datalink_vlan,flow_start_time,flow_end_time,bytes_accumulated,tcp_retransmits,tcp_rst,tcp_fin,anomaly,anomaly_type,response_time_ms
192.168.1.100,203.0.113.20,6,TCP,28475,80,46137,97,1745392365089,1745392381315,4d:fe:d3:85:3c:53,d7:d6:e3:b1:ad:bf,27519,80,http,http://203.0.113.20/resource,,5,2025-04-23T07:12:45.089986,2025-04-23T07:13:01.315986,35184,2,0,1,True,slow_response,16226
192.168.1.100,203.0.113.20,6,TCP,31563,80,32327,42,1745392365090,1745392391290,c4:c8:03:ce:42:92,a3:34:f0:4d:4e:de,45690,80,http,http://203.0.113.20/resource,,2,2025-04-23T07:12:45.090042,2025-04-23T07:13:11.290042,21066,1,0,1,True,slow_response,26200
192.168.1.100,203.0.113.20,6,TCP,40147,80,38855,33,1745392365090,1745392385771,12:da:16:3c:32:67,f4:9c:bb:0f:f8:ef,63084,80,http,http://203.0.113.20/resource,,4,2025-04-23T07:12:45.090098,2025-04-23T07:13:05.771098,27247,0,0,1,True,slow_response,20681
192.168.1.100,203.0.113.20,6,TCP,17118,80,39777,18,1745392365090,1745392394031,7c:2f:86:e7:07:d3,37:1e:55:90:d9:f2,36596,80,http,http://203.0.113.20/resource,,1,2025-04-23T07:12:45.090152,2025-04-23T07:13:14.031152,45222,1,0,1,True,slow_response,28941
192.168.1.100,203.0.113.20,6,TCP,13922,80,4013,89,1745392365090,1745392392968,63:88:d6:d2:c3:8e,ee:2d:72:35:79:de,33745,80,http,http://203.0.113.20/resource,,8,2025-04-23T07:12:45.090208,2025-04-23T07:13:12.968208,38214,1,0,1,True,slow_response,27878
192.168.1.100,203.0.113.20,6,TCP,44672,80,36170,29,1745392365090,1745392381737,1f:e3:9c:c8:0d:b7,3c:73:4e:e7:b4:44,48718,80,http,http://203.0.113.20/resource,,8,2025-04-23T07:12:45.090263,2025-04-23T07:13:01.737263,8956,1,0,1,True,slow_response,16647
192.168.1.100,203.0.113.20,6,TCP,37548,80,36500,19,1745392365090,1745392375888,3e:1f:ee:e7:ca:18,4c:70:72:90:d8:36,3959,80,http,http://203.0.113.20/resource,,7,2025-04-23T07:12:45.090319,2025-04-23T07:12:55.888319,11934,2,0,1,True,slow_response,10798
192.168.1.100,203.0.113.20,6,TCP,26732,80,45279,76,1745392365090,1745392377033,36:00:d8:c3:82:05,bc:59:8f:ec:ab:19,4215,80,http,http://203.0.113.20/resource,,9,2025-04-23T07:12:45.090396,2025-04-23T07:12:57.033396,30341,1,0,1,True,slow_response,11943
192.168.1.100,203.0.113.20,6,TCP,34939,80,31541,39,1745392365090,1745392393364,33:0f:6d:fd:1c:59,fd:7e:be:af:17:c3,6033,80,http,http://203.0.113.20/resource,,6,2025-04-23T07:12:45.090452,2025-04-23T07:13:13.364452,24494,0,0,1,True,slow_response,28274
192.168.1.100,203.0.113.20,6,TCP,30061,80,45636,67,1745392365090,1745392377093,ba:23:99:2c:03:36,be:8b:27:21:bc:5f,7582,80,http,http://203.0.113.20/resource,,8,2025-04-23T07:12:45.090509,2025-04-23T07:12:57.093509,46702,0,0,1,True,slow_response,12003
192.168.1.100,203.0.113.20,6,TCP,44154,80,11656,100,1745392365090,1745392383995,72:83:7a:64:43:21,ef:92:b6:a3:7a:35,32768,80,http,http://203.0.113.20/resource,,5,2025-04-23T07:12:45.090565,2025-04-23T07:13:03.995565,33297,0,0,1,True,slow_response,18905
192.168.1.100,203.0.113.20,6,TCP,13723,80,7080,61,1745392365090,1745392370842,0b:f6:3e:f1:d9:6d,c6:13:cd:bd:65:fb,45634,80,http,http://203.0.113.20/resource,,3,2025-04-23T07:12:45.090621,2025-04-23T07:12:50.842621,12066,1,0,1,True,slow_response,5752
192.168.1.100,203.0.113.20,6,TCP,5697,80,2565,71,1745392365090,1745392392322,2c:61:00:7c:ee:15,d6:10:f6:c5:5d:b2,51524,80,http,http://203.0.113.20/resource,,7,2025-04-23T07:12:45.090674,2025-04-23T07:13:12.322674,13950,0,0,1,True,slow_response,27232
192.168.1.100,203.0.113.20,6,TCP,1083,80,34296,53,1745392365090,1745392393811,6e:30:15:63:0f:12,80:87:e0:65:9d:a5,9406,80,http,http://203.0.113.20/resource,,3,2025-04-23T07:12:45.090729,2025-04-23T07:13:13.811729,37436,1,0,1,True,slow_response,28721
192.168.1.100,203.0.113.20,6,TCP,60134,80,19612,11,1745392365090,1745392390624,22:5e:aa:86:79:c3,fd:64:4a:80:77:21,63835,80,http,http://203.0.113.20/resource,,8,2025-04-23T07:12:45.090784,2025-04-23T07:13:10.624784,15135,1,0,1,True,slow_response,25534
192.168.1.100,203.0.113.20,6,TCP,64685,80,16864,26,1745392365090,1745392389008,17:97:f4:3f:a7:8a,f2:69:94:b6:67:06,63554,80,http,http://203.0.113.20/resource,,5,2025-04-23T07:12:45.090838,2025-04-23T07:13:09.008838,40391,2,0,1,True,slow_response,23918
192.168.1.100,203.0.113.20,6,TCP,21641,80,9081,13,1745392365090,1745392372281,5e:d6:cd:d5:bd:42,0e:e9:8b:ea:60:54,36844,80,http,http://203.0.113.20/resource,,6,2025-04-23T07:12:45.090894,2025-04-23T07:12:52.281894,12787,2,0,1,True,slow_response,7191
192.168.1.100,203.0.113.20,6,TCP,16723,80,5263,40,1745392365090,1745392373529,8e:a9:d0:52:fd:87,9e:1b:15:d9:e4:20,19913,80,http,http://203.0.113.20/resource,,2,2025-04-23T07:12:45.090949,2025-04-23T07:12:53.529949,35344,0,0,1,True,slow_response,8439
192.168.1.100,203.0.113.20,6,TCP,51099,80,4302,62,1745392365091,1745392373975,34:7b:45:f1:40:69,bc:2d:e8:dc:00:9f,49096,80,http,http://203.0.113.20/resource,,1,2025-04-23T07:12:45.091003,2025-04-23T07:12:53.975003,40366,2,0,1,True,slow_response,8884
192.168.1.100,203.0.113.20,6,TCP,46554,80,44134,58,1745392365091,1745392373975,62:5c:0b:f0:1e:2e,50:f7:2d:4f:e2:b2,48313,80,http,http://203.0.113.20/resource,,10,2025-04-23T07:12:45.091056,2025-04-23T07:12:53.975056,15878,0,0,1,True,slow_response,8884
192.168.1.100,203.0.113.20,6,TCP,28350,80,12086,87,1745392365129,1745392374367,55:1e:6f:6d:c3:cc,89:fb:70:b0:46:84,30812,80,http,http://203.0.113.20/resource,,6,2025-04-23T07:12:45.129534,2025-04-23T07:12:54.367534,44765,1,0,1,True,slow_response,9238
192.168.1.100,203.0.113.20,6,TCP,3372,80,38644,88,1745392365129,1745392382574,52:fb:f3:21:31:64,9c:2d:e2:e8:8d:ec,18169,80,http,http://203.0.113.20/resource,,10,2025-04-23T07:12:45.129605,2025-04-23T07:13:02.574605,28573,1,0,1,True,slow_response,17445
192.168.1.100,203.0.113.20,6,TCP,10929,80,46281,39,1745392365129,1745392371383,eb:73:36:5b:17:e5,58:8e:b7:54:72:f6,27417,80,http,http://203.0.113.20/resource,,10,2025-04-23T07:12:45.129664,2025-04-23T07:12:51.383664,16041,2,0,1,True,slow_response,6254
192.168.1.100,203.0.113.20,6,TCP,7796,80,16616,11,1745392365129,1745392374016,49:1a:7a:2c:06:42,9f:81:66:9f:bd:fa,11237,80,http,http://203.0.113.20/resource,,7,2025-04-23T07:12:45.129718,2025-04-23T07:12:54.016718,12102,0,0,1,True,slow_response,8887
192.168.1.100,203.0.113.20,6,TCP,59461,80,27887,88,1745392365129,1745392377825,26:c5:b6:76:c7:9f,b5:e1:5c:fa:5b:a0,25213,80,http,http://203.0.113.20/resource,,5,2025-04-23T07:12:45.129773,2025-04-23T07:12:57.825773,24176,2,0,1,True,slow_response,12696
192.168.1.100,203.0.113.20,6,TCP,40726,80,5349,82,1745392365129,1745392386298,60:52:61:79:8d:2c,85:a5:af:64:ac:33,22956,80,http,http://203.0.113.20/resource,,3,2025-04-23T07:12:45.129826,2025-04-23T07:13:06.298826,30672,1,0,1,True,slow_response,21169
192.168.1.100,203.0.113.20,6,TCP,8707,80,33715,58,1745392365129,1745392375493,66:8c:14:27:9a:84,61:56:c2:e1:9c:75,10290,80,http,http://203.0.113.20/resource,,3,2025-04-23T07:12:45.129881,2025-04-23T07:12:55.493881,9266,1,0,1,True,slow_response,10364
192.168.1.100,203.0.113.20,6,TCP,9373,80,30993,59,1745392365129,1745392370863,2e:70:87:fc:aa:ae,82:c9:a0:c5:bc:e5,56046,80,http,http://203.0.113.20/resource,,1,2025-04-23T07:12:45.129935,2025-04-23T07:12:50.863935,43276,0,0,1,True,slow_response,5734
192.168.1.100,203.0.113.20,6,TCP,40580,80,34723,88,1745392365129,1745392372035,31:4b:2c:fc:ab:c8,af:8b:75:a1:2a:68,10233,80,http,http://203.0.113.20/resource,,4,2025-04-23T07:12:45.129990,2025-04-23T07:12:52.035990,4047,1,0,1,True,slow_response,6906
192.168.1.100,203.0.113.20,6,TCP,61550,80,3581,65,1745392365130,1745392376863,2b:62:28:ff:3b:30,13:d7:8e:0d:47:af,42287,80,http,http://203.0.113.20/resource,,3,2025-04-23T07:12:45.130045,2025-04-23T07:12:56.863045,18206,2,0,1,True,slow_response,11733
192.168.1.100,203.0.113.20,6,TCP,51294,80,45557,29,1745392365130,1745392391067,93:b0:97:d8:cd:fe,6c:02:76:b2:81:d1,59370,80,http,http://203.0.113.20/resource,,10,2025-04-23T07:12:45.130099,2025-04-23T07:13:11.067099,30859,1,0,1,True,slow_response,25937
192.168.1.100,203.0.113.20,6,TCP,59460,80,8157,94,1745392365130,1745392389570,1d:f5:40:75:d0:16,57:f5:e8:37:c7:7e,41485,80,http,http://203.0.113.20/resource,,3,2025-04-23T07:12:45.130152,2025-04-23T07:13:09.570152,11255,1,0,1,True,slow_response,24440
192.168.1.100,203.0.113.20,6,TCP,53696,80,32838,40,1745392365130,1745392381386,ee:ef:bd:b6:ac:80,3e:73:dc:c9:d6:3e,22887,80,http,http://203.0.113.20/resource,,2,2025-04-23T07:12:45.130207,2025-04-23T07:13:01.386207,35750,0,0,1,True,slow_response,16256
192.168.1.100,203.0.113.20,6,TCP,28844,80,44961,65,1745392365130,1745392374697,ae:d1:11:04:62:7f,56:bd:e1:89:a7:18,40073,80,http,http://203.0.113.20/resource,,6,2025-04-23T07:12:45.130263,2025-04-23T07:12:54.697263,49114,2,0,1,True,slow_response,9567
192.168.1.100,203.0.113.20,6,TCP,51037,80,8628,13,1745392365130,1745392385232,f1:9c:84:a8:86:12,7b:63:9b:18:3e:48,35143,80,http,http://203.0.113.20/resource,,5,2025-04-23T07:12:45.130318,2025-04-23T07:13:05.232318,28409,2,0,1,True,slow_response,20102
192.168.1.100,203.0.113.20,6,TCP,50521,80,39493,51,1745392365130,1745392371080,7a:b1:64:bd:c9:1e,18:f9:0f:04:57:49,51994,80,http,http://203.0.113.20/resource,,9,2025-04-23T07:12:45.130392,2025-04-23T07:12:51.080392,39616,2,0,1,True,slow_response,5950
192.168.1.100,203.0.113.20,6,TCP,20622,80,36437,95,1745392365130,1745392390592,e8:71:ed:e5:b0:5c,0e:d4:8d:1c:7b:d3,34102,80,http,http://203.0.113.20/resource,,5,2025-04-23T07:12:45.130451,2025-04-23T07:13:10.592451,42499,2,0,1,True,slow_response,25462
192.168.1.100,203.0.113.20,6,TCP,4136,80,13722,98,1745392365130,1745392382069,56:66:10:f9:44:1f,88:ef:ad:ee:9b:c5,47003,80,http,http://203.0.113.20/resource,,4,2025-04-23T07:12:45.130505,2025-04-23T07:13:02.069505,30478,0,0,1,True,slow_response,16939
192.168.1.100,203.0.113.20,6,TCP,38967,80,47637,89,1745392365130,1745392382437,c5:5f:ba:c4:fa:a5,9a:fd:2f:d4:05:d5,8474,80,http,http://203.0.113.20/resource,,7,2025-04-23T07:12:45.130560,2025-04-23T07:13:02.437560,38792,1,0,1,True,slow_response,17307
192.168.1.100,203.0.113.20,6,TCP,58158,80,40889,88,1745392365130,1745392390391,5c:e3:60:e7:12:76,db:75:11:14:30:55,41587,80,http,http://203.0.113.20/resource,,9,2025-04-23T07:12:45.130616,2025-04-23T07:13:10.391616,39857,2,0,1,True,slow_response,25261
192.168.1.100,203.0.113.20,6,TCP,33201,80,28008,14,1745392365130,1745392383041,9c:f4:c4:4b:36:6e,99:49:2d:f9:53:c4,45067,80,http,http://203.0.113.20/resource,,9,2025-04-23T07:12:45.130672,2025-04-23T07:13:03.041672,34557,0,0,1,True,slow_response,17911
192.168.1.100,203.0.113.20,6,TCP,31770,80,4581,52,1745392365130,1745392375518,0c:5a:d0:c1:be:da,73:13:bb:9f:88:49,19834,80,http,http://203.0.113.20/resource,,6,2025-04-23T07:12:45.130726,2025-04-23T07:12:55.518726,41757,0,0,1,True,slow_response,10388
192.168.1.100,203.0.113.20,6,TCP,38664,80,38577,71,1745392365130,1745392378003,f2:80:b4:4c:79:4e,9e:67:1f:17:25:7b,50548,80,http,http://203.0.113.20/resource,,9,2025-04-23T07:12:45.130782,2025-04-23T07:12:58.003782,32693,2,0,1,True,slow_response,12873
192.168.1.100,203.0.113.20,6,TCP,62282,80,29430,43,1745392365130,1745392391194,33:75:9f:32:d8:91,41:de:e4:93:a5:c3,47282,80,http,http://203.0.113.20/resource,,6,2025-04-23T07:12:45.130836,2025-04-23T07:13:11.194836,45129,0,0,1,True,slow_response,26064
192.168.1.100,203.0.113.20,6,TCP,41756,80,30613,21,1745392365130,1745392393074,47:78:7f:6e:72:4c,42:e9:31:f3:06:98,47902,80,http,http://203.0.113.20/resource,,8,2025-04-23T07:12:45.130891,2025-04-23T07:13:13.074891,34127,0,0,1,True,slow_response,27944
192.168.1.100,203.0.113.20,6,TCP,22469,80,2457,60,1745392365130,1745392370848,3c:03:8a:a2:e0:8c,e2:26:97:5a:38:61,33816,80,http,http://203.0.113.20/resource,,9,2025-04-23T07:12:45.130946,2025-04-23T07:12:50.848946,43244,2,0,1,True,slow_response,5718
192.168.1.100,203.0.113.20,6,TCP,4774,80,48316,91,1745392365131,1745392388687,b6:a5:ff:c4:90:25,57:69:c8:d3:c6:ee,13508,80,http,http://203.0.113.20/resource,,1,2025-04-23T07:12:45.131002,2025-04-23T07:13:08.687002,25923,2,0,1,True,slow_response,23556
192.168.1.100,203.0.113.20,6,TCP,52259,80,8811,84,1745392365131,1745392381721,2a:c5:de:06:91:9d,26:06:e5:88:ba:af,21177,80,http,http://203.0.113.20/resource,,2,2025-04-23T07:12:45.131057,2025-04-23T07:13:01.721057,38642,0,0,1,True,slow_response,16590
192.168.1.100,203.0.113.20,6,TCP,11522,80,29789,32,1745392365131,1745392388575,f4:17:2f:70:c4:2c,24:dc:9f:b0:bc:87,36759,80,http,http://203.0.113.20/resource,,2,2025-04-23T07:12:45.131113,2025-04-23T07:13:08.575113,19736,2,0,1,True,slow_response,23444
192.168.1.100,203.0.113.20,6,TCP,23568,80,38282,40,1745392365131,1745392387354,46:b0:a9:57:0b:8f,ca:89:4b:d3:9e:cd,22249,80,http,http://203.0.113.20/resource,,3,2025-04-23T07:12:45.131170,2025-04-23T07:13:07.354170,46380,1,0,1,True,slow_response,22223
192.168.1.100,203.0.113.20,6,TCP,41205,80,18151,26,1745392365168,1745392371879,af:ae:29:bb:26:74,d3:0d:9f:7a:01:02,58807,80,http,http://203.0.113.20/resource,,6,2025-04-23T07:12:45.168761,2025-04-23T07:12:51.879761,30680,2,0,1,True,slow_response,6711
192.168.1.100,203.0.113.20,6,TCP,32928,80,21652,58,1745392365168,1745392388115,c4:72:ac:0b:2c:19,10:83:d8:b8:9b:72,58442,80,http,http://203.0.113.20/resource,,9,2025-04-23T07:12:45.168833,2025-04-23T07:13:08.115833,10885,1,0,1,True,slow_response,22947
192.168.1.100,203.0.113.20,6,TCP,62862,80,19892,63,1745392365168,1745392379648,19:11:9f:ab:98:ab,51:2e:05:ca:5c:a8,25648,80,http,http://203.0.113.20/resource,,9,2025-04-23T07:12:45.168894,2025-04-23T07:12:59.648894,8530,2,0,1,True,slow_response,14480
192.168.1.100,203.0.113.20,6,TCP,3128,80,5292,27,1745392365168,1745392372207,86:89:70:aa:ab:35,cf:4b:9a:02:26:26,20931,80,http,http://203.0.113.20/resource,,6,2025-04-23T07:12:45.168951,2025-04-23T07:12:52.207951,27861,1,0,1,True,slow_response,7039
192.168.1.100,203.0.113.20,6,TCP,19461,80,20765,23,1745392365169,1745392383109,bc:7e:35:16:cf:b6,26:52:bf:91:f9:1d,14235,80,http,http://203.0.113.20/resource,,10,2025-04-23T07:12:45.169005,2025-04-23T07:13:03.109005,2281,2,0,1,True,slow_response,17940
192.168.1.100,203.0.113.20,6,TCP,6237,80,47003,71,1745392365169,1745392379247,69:f4:00:b3:6d:1d,6a:9b:47:4c:66:cc,23388,80,http,http://203.0.113.20/resource,,8,2025-04-23T07:12:45.169060,2025-04-23T07:12:59.247060,45343,0,0,1,True,slow_response,14078
192.168.1.100,203.0.113.20,6,TCP,3859,80,7301,28,1745392365169,1745392375281,9b:f5:06:75:1e:28,3c:ac:40:75:e7:83,53385,80,http,http://203.0.113.20/resource,,9,2025-04-23T07:12:45.169117,2025-04-23T07:12:55.281117,47422,2,0,1,True,slow_response,10112
192.168.1.100,203.0.113.20,6,TCP,43513,80,35065,20,1745392365169,1745392372741,77:48:7f:6e:51:4a,e1:4e:ce:1f:87:f2,18051,80,http,http://203.0.113.20/resource,,4,2025-04-23T07:12:45.169171,2025-04-23T07:12:52.741171,9413,0,0,1,True,slow_response,7572
192.168.1.100,203.0.113.20,6,TCP,56107,80,47915,90,1745392365169,1745392394155,57:33:3b:84:51:98,f6:5e:af:e6:c9:7f,2290,80,http,http://203.0.113.20/resource,,4,2025-04-23T07:12:45.169224,2025-04-23T07:13:14.155224,11117,0,0,1,True,slow_response,28986
192.168.1.100,203.0.113.20,6,TCP,17699,80,46850,17,1745392365169,1745392386740,2a:ec:05:ca:f1:96,89:85:52:26:b1:17,29968,80,http,http://203.0.113.20/resource,,2,2025-04-23T07:12:45.169279,2025-04-23T07:13:06.740279,31047,2,0,1,True,slow_response,21571
192.168.1.100,203.0.113.20,6,TCP,10408,80,7913,71,1745392365169,1745392375523,a6:30:3e:b9:92:1b,ce:f5:d6:a9:4c:a5,47350,80,http,http://203.0.113.20/resource,,3,2025-04-23T07:12:45.169373,2025-04-23T07:12:55.523373,12857,1,0,1,True,slow_response,10354
192.168.1.100,203.0.113.20,6,TCP,37709,80,42874,51,1745392365169,1745392372343,86:63:af:50:3b:53,36:8c:76:3c:59:c0,23912,80,http,http://203.0.113.20/resource,,8,2025-04-23T07:12:45.169434,2025-04-23T07:12:52.343434,8173,2,0,1,True,slow_response,7174
192.168.1.100,203.0.113.20,6,TCP,29275,80,15815,77,1745392365169,1745392376033,4e:43:a8:1a:34:1a,f8:c1:bf:7e:de:46,53810,80,http,http://203.0.113.20/resource,,10,2025-04-23T07:12:45.169488,2025-04-23T07:12:56.033488,34695,1,0,1,True,slow_response,10864
192.168.1.100,203.0.113.20,6,TCP,56182,80,17777,11,1745392365169,1745392380939,01:cc:05:40:15:22,80:3b:e3:71:ff:47,38597,80,http,http://203.0.113.20/resource,,4,2025-04-23T07:12:45.169543,2025-04-23T07:13:00.939543,12209,0,0,1,True,slow_response,15770
192.168.1.100,203.0.113.20,6,TCP,24682,80,45445,20,1745392365169,1745392394577,65:d1:10:79:a0:6b,81:98:89:a9:d2:25,55829,80,http,http://203.0.113.20/resource,,9,2025-04-23T07:12:45.169600,2025-04-23T07:13:14.577600,38113,2,0,1,True,slow_response,29408
192.168.1.100,203.0.113.20,6,TCP,34467,80,4206,21,1745392365169,1745392381867,d6:7b:34:91:51:b3,dc:e5:cc:d9:6b:ff,42837,80,http,http://203.0.113.20/resource,,6,2025-04-23T07:12:45.169654,2025-04-23T07:13:01.867654,20937,0,0,1,True,slow_response,16698
192.168.1.100,203.0.113.20,6,TCP,30733,80,8473,74,1745392365169,1745392375069,5a:4a:36:da:67:5a,18:a8:bf:31:00:7d,14991,80,http,http://203.0.113.20/resource,,10,2025-04-23T07:12:45.169710,2025-04-23T07:12:55.069710,1202,1,0,1,True,slow_response,9900
192.168.1.100,203.0.113.20,6,TCP,10559,80,26415,49,1745392365169,1745392374309,18:c0:06:b7:9f:de,86:6f:7c:eb:d3:dd,11314,80,http,http://203.0.113.20/resource,,1,2025-04-23T07:12:45.169766,2025-04-23T07:12:54.309766,22931,1,0,1,True,slow_response,9140
192.168.1.100,203.0.113.20,6,TCP,21095,80,10716,59,1745392365169,1745392373384,96:c3:6f:8d:30:72,7d:28:fc:9f:0d:0d,44184,80,http,http://203.0.113.20/resource,,1,2025-04-23T07:12:45.169821,2025-04-23T07:12:53.384821,43393,2,0,1,True,slow_response,8215
192.168.1.100,203.0.113.20,6,TCP,63702,80,28053,62,1745392365169,1745392388015,8e:0f:e8:4f:db:74,f2:7f:96:56:b0:5b,29547,80,http,http://203.0.113.20/resource,,7,2025-04-23T07:12:45.169878,2025-04-23T07:13:08.015878,30959,0,0,1,True,slow_response,22846
192.168.1.100,203.0.113.20,6,TCP,57986,80,11735,70,1745392365169,1745392371960,f3:e6:2a:63:f6:8f,3f:30:86:8d:45:57,62283,80,http,http://203.0.113.20/resource,,1,2025-04-23T07:12:45.169935,2025-04-23T07:12:51.960935,25042,2,0,1,True,slow_response,6791
192.168.1.100,203.0.113.20,6,TCP,60311,80,1378,25,1745392365169,1745392394094,d4:03:e8:6e:e1:eb,e0:07:f4:71:f6:df,48214,80,http,http://203.0.113.20/resource,,10,2025-04-23T07:12:45.169990,2025-04-23T07:13:14.094990,45428,2,0,1,True,slow_response,28925
192.168.1.100,203.0.113.20,6,TCP,61061,80,8225,50,1745392365170,1745392371428,ea:b1:2a:1f:72:e7,d8:1b:75:ec:b8:02,26230,80,http,http://203.0.113.20/resource,,2,2025-04-23T07:12:45.170046,2025-04-23T07:12:51.428046,12350,2,0,1,True,slow_response,6258
192.168.1.100,203.0.113.20,6,TCP,4992,80,2497,27,1745392365170,1745392386210,6e:60:02:7b:5a:71,bc:31:ed:af:73:6f,15538,80,http,http://203.0.113.20/resource,,6,2025-04-23T07:12:45.170101,2025-04-23T07:13:06.210101,41424,0,0,1,True,slow_response,21040
192.168.1.100,203.0.113.20,6,TCP,16924,80,32693,10,1745392365170,1745392393610,04:a3:95:36:dc:12,5e:72:5e:1a:b7:fe,44991,80,http,http://203.0.113.20/resource,,3,2025-04-23T07:12:45.170158,2025-04-23T07:13:13.610158,9667,0,0,1,True,slow_response,28440
192.168.1.100,203.0.113.20,6,TCP,9992,80,30719,66,1745392365170,1745392386779,af:fd:b7:71:37:08,b0:bb:c2:0a:d2:03,55059,80,http,http://203.0.113.20/resource,,1,2025-04-23T07:12:45.170213,2025-04-23T07:13:06.779213,33174,1,0,1,True,slow_response,21609
192.168.1.100,203.0.113.20,6,TCP,33939,80,24891,40,1745392365170,1745392394898,5c:26:0c:09:38:c1,64:e0:72:2f:84:e6,33908,80,http,http://203.0.113.20/resource,,8,2025-04-23T07:12:45.170268,2025-04-23T07:13:14.898268,27592,1,0,1,True,slow_response,29728
192.168.1.100,203.0.113.20,6,TCP,20700,80,40027,62,1745392365170,1745392392961,3b:eb:e9:ce:46:99,88:46:cb:be:e9:37,59764,80,http,http://203.0.113.20/resource,,9,2025-04-23T07:12:45.170321,2025-04-23T07:13:12.961321,24721,0,0,1,True,slow_response,27791
192.168.1.100,203.0.113.20,6,TCP,49269,80,6117,60,1745392365170,1745392379911,b3:2d:6f:94:de:60,5c:79:00:97:6d:40,14970,80,http,http://203.0.113.20/resource,,6,2025-04-23T07:12:45.170403,2025-04-23T07:12:59.911403,42336,0,0,1,True,slow_response,14741
192.168.1.100,203.0.113.20,6,TCP,48606,80,35931,68,1745392365170,1745392386554,ca:06:5f:a8:0f:ff,48:bb:fb:8c:e0:2b,16957,80,http,http://203.0.113.20/resource,,3,2025-04-23T07:12:45.170460,2025-04-23T07:13:06.554460,32443,2,0,1,True,slow_response,21384
192.168.1.100,203.0.113.20,6,TCP,59199,80,27336,79,1745392365206,1745392377925,3b:d6:9a:55:87:40,fc:b4:83:91:fe:21,61276,80,http,http://203.0.113.20/resource,,3,2025-04-23T07:12:45.206842,2025-04-23T07:12:57.925842,36666,0,0,1,True,slow_response,12719
